Team,NAME,Jersey,POS,AGE,HT,WT,COLLEGE,SALARY
Atlanta Hawks,Saddiq Bey,41,SF,24,"6' 7""",215 lbs,Villanova,"$4,556,983"
Atlanta Hawks,Bogdan Bogdanovic,13,SG,31,"6' 5""",225 lbs,--,"$18,700,000"
Atlanta Hawks,Kobe Bufkin,NA,G,20,"6' 4""",195 lbs,Michigan,"$4,094,280"
Atlanta Hawks,Clint Capela,15,C,29,"6' 10""",256 lbs,--,"$20,616,000"
Atlanta Hawks,Bruno Fernando,0,PF,25,"6' 10""",240 lbs,Maryland,"$2,581,522"
Atlanta Hawks,Trent Forrest,2,G,25,"6' 4""",210 lbs,Florida State,--
Atlanta Hawks,AJ Griffin,14,F,20,"6' 6""",222 lbs,Duke,"$3,712,920"
Atlanta Hawks,Mouhamed Gueye,NA,F,20,"6' 11""",210 lbs,Washington State,"$1,119,563"
Atlanta Hawks,De'Andre Hunter,12,SF,25,"6' 8""",221 lbs,Virginia,"$20,089,286"
Atlanta Hawks,Jalen Johnson,1,SF,21,"6' 8""",219 lbs,Duke,"$2,925,360"
Atlanta Hawks,Jarkel Joiner,NA,G,24,"6' 1""",180 lbs,NC State,--
Atlanta Hawks,Seth Lundy,NA,G,23,"6' 6""",220 lbs,Penn State,--
Atlanta Hawks,Garrison Mathews,25,SG,26,"6' 6""",215 lbs,Lipscomb,"$2,000,000"
Atlanta Hawks,Wesley Matthews,23,SG,36,"6' 4""",220 lbs,Marquette,"$2,019,706"
Atlanta Hawks,Patty Mills,8,PG,35,"6' 0""",180 lbs,Saint Mary's,"$6,802,950"
Atlanta Hawks,Dejounte Murray,5,SG,27,"6' 5""",180 lbs,Washington,"$18,214,000"
Atlanta Hawks,Miles Norris,NA,F,23,"6' 10""",220 lbs,UC Santa Barbara,--
Atlanta Hawks,Onyeka Okongwu,17,PF,22,"6' 9""",240 lbs,USC,"$8,109,063"
Atlanta Hawks,Keaton Wallace,NA,G,24,"6' 3""",185 lbs,UTSA,--
Atlanta Hawks,Trae Young,11,PG,25,"6' 1""",164 lbs,Oklahoma,"$40,064,220"
Boston Celtics,Dalano Banton,NA,G,23,"6' 7""",204 lbs,Nebraska,"$2,019,706"
Boston Celtics,Oshae Brissett,12,SF,25,"6' 7""",210 lbs,Syracuse,"$2,165,000"
Boston Celtics,Malcolm Brogdon,13,PG,30,"6' 4""",229 lbs,Virginia,"$22,500,000"
Boston Celtics,Jaylen Brown,7,SG,26,"6' 6""",223 lbs,California,"$31,830,357"
Boston Celtics,Justin Champagnie,99,SF,22,"6' 6""",206 lbs,Pittsburgh,--
Boston Celtics,JD Davison,20,SG,20,"6' 1""",195 lbs,Alabama,--
Boston Celtics,Blake Griffin,91,PF,34,"6' 9""",250 lbs,Oklahoma,--
Boston Celtics,Sam Hauser,30,SF,25,"6' 7""",217 lbs,Virginia,"$1,927,896"
Boston Celtics,Al Horford,42,C,37,"6' 9""",240 lbs,Florida,"$10,000,000"
Boston Celtics,Luke Kornet,40,C,28,"7' 2""",250 lbs,Vanderbilt,"$2,413,304"
Boston Celtics,Svi Mykhailiuk,NA,SG,26,"6' 7""",205 lbs,Kansas,"$2,019,706"
Boston Celtics,Kristaps Porzingis,NA,C,28,"7' 3""",240 lbs,--,"$36,016,200"
Boston Celtics,Payton Pritchard,11,PG,25,"6' 1""",195 lbs,Oregon,"$4,037,278"
Boston Celtics,Neemias Queta,NA,C,24,"7' 0""",245 lbs,Utah State,"$2,019,706"
Boston Celtics,Jayson Tatum,0,SF,25,"6' 8""",210 lbs,Duke,"$32,600,060"
Boston Celtics,Jordan Walsh,NA,G,19,"6' 7""",205 lbs,Arkansas,"$1,119,563"
Boston Celtics,Derrick White,9,PG,29,"6' 4""",190 lbs,Colorado,"$18,357,143"
Boston Celtics,Robert Williams III,44,C,25,"6' 9""",237 lbs,Texas A&M,"$11,571,429"
Brooklyn Nets,Darius Bazley,NA,PF,23,"6' 9""",216 lbs,--,"$2,019,706"
Brooklyn Nets,Mikal Bridges,1,SF,27,"6' 6""",209 lbs,Villanova,"$21,700,000"
Brooklyn Nets,Nic Claxton,33,C,24,"6' 11""",215 lbs,Georgia,"$9,625,000"
Brooklyn Nets,Noah Clowney,NA,F,19,"6' 10""",210 lbs,Alabama,"$3,089,520"
Brooklyn Nets,Spencer Dinwiddie,26,PG,30,"6' 6""",215 lbs,Colorado,"$20,357,143"
Brooklyn Nets,Dorian Finney-Smith,28,PF,30,"6' 7""",220 lbs,Florida,"$13,932,008"
Brooklyn Nets,Cameron Johnson,2,SF,27,"6' 8""",210 lbs,North Carolina,"$25,679,348"
Brooklyn Nets,Royce O'Neale,00,PF,30,"6' 6""",226 lbs,Baylor,"$9,500,000"
